lat_depart,lon_depart,lat_arrivee,lon_arrivee,temps_minutes,date_calcul
48.5856,7.7507,48.5794,7.7441,6,2025-06-24T19:23:55.628262
48.5856,7.7507,48.575,7.745,7,2025-06-24T19:23:56.627520
48.5794,7.7441,48.58,7.75,2,2025-06-24T19:23:57.627854
48.5734,7.7521,48.5794,7.7441,4,2025-06-24T19:23:58.628518
48.5734,7.7521,48.575,7.745,4,2025-06-24T19:23:59.627763
48.58,7.75,48.5794,7.7441,3,2025-06-24T19:24:00.627186
48.575,7.745,48.58,7.75,4,2025-06-24T19:24:01.626629
48.5794,7.7441,48.5856,7.7507,7,2025-06-24T19:24:02.628566
48.5856,7.7507,48.58,7.75,5,2025-06-24T19:24:03.630036
48.58,7.75,48.5856,7.7507,9,2025-06-24T19:24:04.626667
48.575,7.745,48.5856,7.7507,8,2025-06-24T19:24:05.629478
48.5734,7.7521,48.58,7.75,4,2025-06-24T19:24:06.626782
48.5794,7.7441,48.5734,7.7521,4,2025-06-24T19:24:07.628972
48.5794,7.7441,48.575,7.745,3,2025-06-24T19:24:08.630616
48.58,7.75,48.5734,7.7521,6,2025-06-24T19:24:09.629828
48.575,7.745,48.5734,7.7521,4,2025-06-24T19:24:10.628727
48.5734,7.7521,48.5856,7.7507,8,2025-06-24T19:24:11.626580
48.58,7.75,48.575,7.745,6,2025-06-24T19:24:12.626929
